Player,Team,Pos,Age,Club,Club_country,date,hour,category,opponent,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,CrdY,CrdR,tackles_made,successful_tackles,interceptions,Blocks,fouls_commited,own_goal,pass_comp,pass_attempt,successful_dribbles,offside
Emiliano Martínez,ARGENTINA,GK,29,Aston Villa,eng,22 NOV 2022,11 : 00,Group C,SAUDI ARABIA,7,7,690,0,0,0,0,1,0,0.0,0,0,0.0,0,0,120.0,187.0,0.0,0
Emiliano Martínez,ARGENTINA,GK,29,Aston Villa,eng,26 NOV 2022,20 : 00,Group C,MEXICO,7,7,690,0,0,0,0,1,0,0.0,0,0,0.0,0,0,120.0,187.0,0.0,0
Emiliano Martínez,ARGENTINA,GK,29,Aston Villa,eng,03 DEC 2022,20 : 00,Round of 16,AUSTRALIA,7,7,690,0,0,0,0,1,0,0.0,0,0,0.0,0,0,120.0,187.0,0.0,0
Emiliano Martínez,ARGENTINA,GK,29,Aston Villa,eng,13 DEC 2022,20 : 00,Semi-final,CROATIA,7,7,690,0,0,0,0,1,0,0.0,0,0,0.0,0,0,120.0,187.0,0.0,0
Emiliano Martínez,ARGENTINA,GK,29,Aston Villa,eng,18 DEC 2022,16 : 00,Final,FRANCE,7,7,690,0,0,0,0,1,0,0.0,0,0,0.0,0,0,120.0,187.0,0.0,0
Emiliano Martínez,ARGENTINA,GK,29,Aston Villa,eng,30 NOV 2022,20 : 00,Group C,POLAND,7,7,690,0,0,0,0,1,0,0.0,0,0,0.0,0,0,120.0,187.0,0.0,0
Emiliano Martínez,ARGENTINA,GK,29,Aston Villa,eng,09 DEC 2022,20 : 00,Quarter-final,NETHERLANDS,7,7,690,0,0,0,0,1,0,0.0,0,0,0.0,0,0,120.0,187.0,0.0,0
Lionel Messi,ARGENTINA,FW,34,Paris S-G,fr,22 NOV 2022,11 : 00,Group C,SAUDI ARABIA,7,7,690,7,3,27,13,1,0,5.0,3,0,2.0,10,0,300.0,371.0,15.0,3
Lionel Messi,ARGENTINA,FW,34,Paris S-G,fr,26 NOV 2022,20 : 00,Group C,MEXICO,7,7,690,7,3,27,13,1,0,5.0,3,0,2.0,10,0,300.0,371.0,15.0,3
Lionel Messi,ARGENTINA,FW,34,Paris S-G,fr,03 DEC 2022,20 : 00,Round of 16,AUSTRALIA,7,7,690,7,3,27,13,1,0,5.0,3,0,2.0,10,0,300.0,371.0,15.0,3
Lionel Messi,ARGENTINA,FW,34,Paris S-G,fr,13 DEC 2022,20 : 00,Semi-final,CROATIA,7,7,690,7,3,27,13,1,0,5.0,3,0,2.0,10,0,300.0,371.0,15.0,3
Lionel Messi,ARGENTINA,FW,34,Paris S-G,fr,18 DEC 2022,16 : 00,Final,FRANCE,7,7,690,7,3,27,13,1,0,5.0,3,0,2.0,10,0,300.0,371.0,15.0,3
Lionel Messi,ARGENTINA,FW,34,Paris S-G,fr,30 NOV 2022,20 : 00,Group C,POLAND,7,7,690,7,3,27,13,1,0,5.0,3,0,2.0,10,0,300.0,371.0,15.0,3
