player_name,team_name,saves,goals_against,needs_review
Alisson,Brazil,0,0,yes
Lawrence Ati-Zigi,Ghana,10,7,no
Meshaal Barsham,Qatar,4,5,no
Alireza Beiranvand,IR Iran,4,1,no
Milan Borjan,Canada,8,7,no
Yassine Bounou,Morocco,0,0,yes
Diogo Costa,Portugal,0,0,yes
Thibaut Courtois,Belgium,8,2,no
Aymen Dahmen,Tunisia,9,1,no
Ederson,Brazil,0,0,yes
Devis Epassy,Cameroon,9,3,no
Hernán Galíndez,Ecuador,1,3,no
Shūichi Gonda,Japan,0,0,yes
Wayne Hennessey,Wales,5,1,no
Hossein Hosseini,IR Iran,4,6,no
Gregor Kobel,Switzerland,0,0,yes
Dominik Livaković,Croatia,0,0,yes
Hugo Lloris,France,0,0,yes
Steve Mandanda,France,0,0,yes
Emiliano Martínez,Argentina,0,0,yes
Edouard Mendy,Senegal,0,0,yes
Vanja Milinković-Savić,Serbia,15,8,no
Munir,Morocco,0,0,yes
Keylor Navas,Costa Rica,11,11,no
Manuel Neuer,Germany,8,5,no
Andries Noppert,Netherlands,0,0,yes
Guillermo Ochoa,Mexico,2,3,no
André Onana,Cameroon,2,1,no
Mohammed Al-Owais,Saudi Arabia,14,5,no
Jordan Pickford,England,0,0,yes
Sergio Rochet,Uruguay,4,2,no
Mathew Ryan,Australia,0,0,yes
Kasper Schmeichel,Denmark,8,3,no
Kim Seung-gyu,Korea Republic,0,0,yes
Saad Al Sheeb,Qatar,1,2,no
Unai Simón,Spain,0,0,yes
Yann Sommer,Switzerland,0,0,yes
Wojciech Szczęsny,Poland,0,0,yes
Matt Turner,United States,0,0,yes
Danny Ward,Wales,4,5,no
Wéverton,Brazil,0,0,no
